class	dropped_lines	file	detail
MIXED-CLOBBER	1	src/agents/embedded-agent-subscribe.handlers.compaction.test.ts	?
MIXED-CLOBBER	6	src/agents/embedded-agent-subscribe.handlers.compaction.ts	?
MIXED-CLOBBER	1	src/agents/embedded-agent-subscribe.tools.ts	?
SAFE-NEW	0	src/agents/openclaw-tools.continuation-misconfig-warn.test.ts	-
SAFE-NEW	0	src/agents/openclaw-tools.continuation-registration.test.ts	-
MIXED-CLOBBER	1	src/agents/openclaw-tools.ts	?
GENUINE	0	src/agents/sessions/agent-session.ts	-
MIXED-CLOBBER	1	src/agents/shell-snapshot.test.ts	?
MIXED-CLOBBER	2	src/agents/shell-snapshot.ts	?
GENUINE	0	src/agents/subagent-announce-delivery.ts	-
SAFE-NEW	0	src/agents/subagent-announce.chain-guard.test.ts	-
SAFE-NEW	0	src/agents/subagent-announce.continuation-drain.test.ts	-
SAFE-NEW	0	src/agents/subagent-announce.continuation-parity-gate.test.ts	-
SAFE-NEW	0	src/agents/subagent-announce.continuation-tool-delegate-commit.test.ts	-
